date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODAY,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_DAY,LO3_TIME,LO3,LO3_DAY
3-Jun,07:46AM,0.81,TODAY,01:03AM,0.25,TODAY,08:24PM,0.52,TODAY,02:36PM,0.24,TODAY,-,-,-,-,-,-
4-Jun,08:06AM,0.97,TODAY,12:59AM,0.36,TODAY,10:22PM,0.44,TODAY,03:45PM,0.04,TODAY,-,-,-,-,-,-
5-Jun,08:32AM,1.12,TODAY,12:30AM,0.42,TODAY,-,-,-,04:44PM,-0.13,TODAY,-,-,-,-,-,-
6-Jun,09:03AM,1.25,TODAY,05:33PM,-0.24,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Jun,09:36AM,1.33,TODAY,06:29PM,-0.3,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Jun,10:14AM,1.37,TODAY,07:18PM,0.31,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Jun,10:54AM,1.37,TODAY,08:05PM,-0.28,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Jun,11:36AM,1.32,TODAY,08:51PM,0.22,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-Jun,12:21PM,1.25,TODAY,09:35PM,-0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
12-Jun,01:07PM,1.15,TODAY,10:15PM,-0.07,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
13-Jun,01:54PM,1.03,TODAY,10:50PM,0.02,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
14-Jun,02:45PM,0.89,TODAY,11:16PM,0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
15-Jun,03:48PM,0.73,TODAY,11:32PM,0.22,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
16-Jun,07:19AM,0.69,TODAY,01:09PM,0.51,TODAY,05:15PM,0.58,TODAY,11:34PM,0.3,TODAY,-,-,-,-,-,-
