date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODYA,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_TODAY,LO3_TIME,LO3,LO3_TODAY
13-Apr,12:31PM,1.15,TOMORROW,09:26PM,-0.2,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
14-Apr,01:10PM,1.15,TOMORROW,10:40PM,-0.19,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
15-Apr,01:54PM,1.1,TOMORROW,11:51PM,-0.18,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
16-Apr,02:50PM,1.04,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-Apr,04:06PM,0.97,TOMORROW,12:54AM,-0.15,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
18-Apr,05:27PM,0.91,TOMORROW,01:44AM,-0.11,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
19-Apr,06:41PM,0.85,TOMORROW,02:25AM,-0.06,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
20-Apr,10:09AM,0.53,TOMORROW,02:58AM,0.02,TOMORROW,07:51PM,0.8,TOMORROW,03:33AM,0.48,TOMORROW,-,-,-,-,-,-
21-Apr,09:45AM,0.58,TOMORROW,03:21AM,0.11,TOMORROW,08:55PM,0.74,TOMORROW,03:00PM,0.37,TOMORROW,-,-,-,-,-,-
22-Apr,09:42AM,0.66,TOMORROW,03:34AM,0.21,TOMORROW,10:53PM,0.68,TOMORROW,04:00PM,0.25,TOMORROW,-,-,-,-,-,-
23-Apr,09:52AM,0.77,TOMORROW,03:33AM,0.3,TOMORROW,10:47PM,0.61,TOMORROW,04:51PM,0.14,TOMORROW,-,-,-,-,-,-
24-Apr,10:09AM,0.88,TOMORROW,03:22AM,0.36,TOMORROW,11:39PM,0.53,TOMORROW,05:37PM,0.04,TOMORROW,-,-,-,-,-,-
25-Apr,10:28AM,0.98,TOMORROW,03:16AM,0.39,TOMORROW,-,-,-,06:22PM,-0.04,TOMORROW,-,-,-,-,-,-
26-Apr,12:37AM,0.45,TOMORROW,03:11AM,0.4,TOMORROW,10:49AM,1.06,TOMORROW,07:07PM,-0.1,TOMORROW,-,-,-,-,-,-
27-Apr,11:11AM,1.13,TOMORROW,07:55PM,-0.15,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
28-Apr,11:39AM,1.18,TOMORROW,08:49PM,-0.19,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
29-Apr,12:18PM,1.2,TOMORROW,09:51PM,-0.21,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
30-Apr,01:06PM,1.19,TOMORROW,11:01PM,-0.23,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
1-May,02:10PM,1.15,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2-May,03:34PM,1.08,TOMORROW,12:09AM,-0.22,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
3-May,05:08PM,1,TOMORROW,01:06AM,0.18,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
4-May,09:21AM,0.52,TOMORROW,01:51AM,-0.1,TOMORROW,06:34PM,0.9,TOMORROW,11:27AM,0.51,TOMORROW,-,-,-,-,-,-
5-May,08:56AM,0.59,TOMORROW,02:26AM,0.02,TOMORROW,08:00PM,0.8,TOMORROW,01:48PM,0.36,TOMORROW,-,-,-,-,-,-
6-May,09:02AM,0.73,TOMORROW,02:51AM,0.16,TOMORROW,09:27PM,0.68,TOMORROW,03:12PM,0.18,TOMORROW,-,-,-,-,-,-
7-May,09:19AM,0.89,TOMORROW,03:03AM,0.29,TOMORROW,10:48PM,0.57,TOMORROW,04:21PM,0,TOMORROW,-,-,-,-,-,-
8-May,09:42AM,1.04,TOMORROW,02:59AM,0.4,TOMORROW,-,-,-,05:22PM,-0.14,TOMORROW,-,-,-,-,-,-
9-May,12:14AM,0.47,TOMORROW,02:27AM,0.44,TOMORROW,10:11AM,1.17,TOMORROW,06:21PM,-0.24,TOMORROW,-,-,-,-,-,-
10-May,10:42AM,1.26,TOMORROW,07:20PM,-0.28,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
11-May,11:18AM,1.29,TOMORROW,08:18PM,-0.29,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
12-May,11:56AM,1.28,TOMORROW,09:15PM,-0.26,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
13-May,12:38PM,1.23,TOMORROW,10:12PM,-0.22,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
14-May,01:24PM,1.15,TOMORROW,11:07PM,-0.16,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
15-May,02:18PM,1.05,TOMORROW,11:57PM,-0.09,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
16-May,03:24PM,0.94,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-May,04:44PM,0.82,TOMORROW,12:38AM,-0.01,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
18-May,09:14AM,0.61,TOMORROW,01:10AM,0.08,TOMORROW,06:03PM,0.71,TOMORROW,12:45PM,0.56,TOMORROW,-,-,-,-,-,-
19-May,08:40AM,0.66,TOMORROW,01:31AM,0.18,TOMORROW,07:27PM,0.61,TOMORROW,02:32PM,0.43,TOMORROW,-,-,-,-,-,-
